no,nama,type,vote_average,vote_count,htm_weekday,htm_weekend,latitude,longitude,image,description
9,Candi Borobudur,Budaya_Dan_Sejarah,4.7,81922,50000,50000,-7.607086854,110.2036226,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748936304/borobudur_brbr6l.jpg,candi yang pernah masuk sebagai salah satu dari tujuh keajaiban dunia ini dihiasi oleh banyak relief di dinding candi relief yang ada di candi borobudur mencapai dan panjangnya bisa mencapai kilometer
10,Candi Prambanan,Budaya_Dan_Sejarah,4.7,71751,50000,50000,-7.751834561,110.4915318,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748938870/candi-prambanan_cpukic.jpg,candi prambanan adalah kompleks candi hindu terbesar di indonesia yang dibangun pada abad ke masehi candi ini dipersembahkan untuk trimurti tiga dewa utama hindu yaitu brahma sebagai dewa pencipta wisnu sebagai dewa pemelihara dan siwa sebagai dewa pemusnah berdasarkan prasasti siwagrha nama asli kompleks candi ini adalah siwagrha bahasa sanskerta yang bermakna rumah siwa dan memang di garbagriha ruang utama candi ini bersemayam arca siwa mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa siwa lebih diutamakan
24,Tebing Breksi,Alam,4.4,51431,10000,10000,-7.781476547,110.5045757,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748938869/tebing-breksi_ydjncv.jpg,tebing breksi merupakan tempat wisata yang berada di wilayah kabupaten sleman lokasinya berada di sebelah selatan candi prambanan dan berdekatan dengan candi ijo serta kompleks keraton boko tempat ini merupakan perbukitan batuan breksi dari atas tebing wisatawan dapat melihat keseluruhan kota jogja bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing serpeti pesawat yang lepas landas kendaraan yang hilidr mudik
343,Gembira Loka Zoo,Buatan,4.5,36337,20000,25000,-7.8062344,110.3967977,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748938869/gembira-loka-zoo_wjklvo.jpg,gambira loka adalah kebun binatang yang berada di yogyakarta berisi berbagai macam spesies dari belahan dunia seperti orangutan gajah asia simpanse harimau dan lain sebagainya kebun binatang gembira loka menjadi daya tarik tersendiri bagi para wisatawan yogyakarta gembira loka zoo sempat rusak parah akibat gempa bumi yang mengguncang kota yogyakarta tahun tetapi setelah direnovasi kebun binatang gembira loka tetap dicari para wisatawan
346,The Palace of Yogyakarta (Keraton Yogyakarta),Budaya_Dan_Sejarah,4.6,30091,8000,8000,-7.8052845,110.3642031,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748938868/keraton_rel64b.jpg,kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan termasuk berbagai pemberian dari raja raja eropa replika pusaka keraton dan gamelan dari segi bangunannya keraton ini merupakan salah satu contoh arsitektur istana jawa yang terbaik memiliki balairung balairung mewah dan lapangan serta paviliun yang luas
8,Taman Sari,Budaya_Dan_Sejarah,4.6,27899,5000,5000,-7.809833449,110.3595117,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748938870/taman-sari_yy2dq0.jpg,taman sari yogyakarta merupakan salah satu bangunan milik kesultanan yogyakarta yang difungsikan sebagai destinasi wisata namun selain sebagai destinasi wisata taman sari pada saat tertentu juga masih digunakan sebagai tempat ritual oleh keluarga raja dengan bentuk bangunan arsitektur ala portugis jawa bangunan di taman ini menjadi daya tarik utama meskipun sekarang kondisi bangunan tak lagi utuh seperti saat masih difungsikan sebagai taman kesultanan namun tetap saja aura keindahan terpancar kuat dari bangunan bangunan di taman ini
418,Hutan Pinus Mangunan Dlingo,Alam,4.6,18271,3000,3000,-7.9267837,110.4319967,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748938869/mangunan_fk2oo9.jpg,hutan pinus mangunan yang ada di jogja bisa menjadi destinasi hutan yang tepat disana banyak terdapat pepohonan yang tinggi menjulang yang dikenal dengan nama pinus merkusi nggak heran deh kalau banyak wisatawan yang merasa kepincut dengan objek wisata ini sebab kesejukan dan keindahan pemandangannya benar benar mempesona mata
126,Jogja Bay,Wisata Air,4.4,16877,90000,100000,-7.7478461,110.4188754,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941422/jogja-bay-waterpark_ihxa81.png,jogja bay waterpark jbw salah satu waterpark terbesar di asia tenggara yang berlokasi di kota wisata terbesar kedua di indonesia yaitu yogyakarta dan belakangan ini sudah menjadi salah satu tujuan destinasi wisata di yogyakarta waterpark yang saat ini merupakan atraksi wahana air terbesar terlengkap berstandar internasional dan memiliki karakter bajak laut  dengan bangga menyampaikan sesuai tripadvisor internasional telah merilis tahun jogja bay waterpark di yogyakarta sebagai waterpark terbaik ke di asia jogjabay telah tersertifikasi chse clean health safety enviroment dengan score dari kemenparekraf ri dan sucofindo
158,The World Landmarks - Merapi Park Yogyakarta,Buatan,4.2,16201,15000,15000,-7.6209046,110.4216275,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941421/merapi-park_mik48a.jpg,merapi park merupakan tempat wisata yang dihadirkan sebagai tempat rekreasi keluarga taman bermain dengan taman taman yang tertata rapi dan terkesan sejuk sangat pas anda habiskan bersma sang buah hati atau kekasih tersayang taman bunga dan bangku panjang paduan yang sempurna untuk sekedar bercengkrama lepas tanpa terganggu bisingnya lalu lalang kendaraan tentu saja karena merapi park jogja ini terletak di bawah kaki gunung merapi kaliurang yang sepi dan sejuk panorama kaki gunung inilah akan membuat hasil jepretan foto anda menjadi lebih berwarna cantik dan menarik
457,The Lost World Castle,Buatan,4.3,16110,30000,30000,-7.6041648,110.4510042,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941420/The-Lost-World-Castle_hpxthk.jpg,di dalam the lost world casle pengunjung disuguhkan potret gagahnya gunung merapi selain itu di dalam objek wisata ini terdapat berbagai latar untuk mengambil foto yang menarik di antaranya taman koboi awan putih sepeda motor terbang sayap bidadari dan lain lain selain itu ada juga latar foto trik tiga dimensi berupa air terjun permadani terbang dan beberapa bunga sakura tiruan yang turut menghidupkan suasana
